id,Artist,Title,Album,Year,Date,Lyric
0,Billie Eilish,​when the party’s over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2018,2018-10-17,don't you know i'm no good for you i've learned to lose you can't afford to tore my shirt to stop you bleedin' but nothin' ever stops you leavin'   quiet when i'm coming home and i'm on my own i could lie say i like it like that like it like that i could lie say i like it like that like it like that   don't you know too much already i'll only hurt you if you let me call me friend but keep me closer call me back and i'll call you when the party's over   quiet when i'm coming home and i'm on my own and i could lie say i like it like that like it like that yeah i could lie say i like it like that like it like that   but nothin' is better sometimes once we've both said our goodbyes let's just let it go let me let you go   quiet when i'm coming home and i'm on my own i could lie say i like it like that like it like that i could lie say i like it like that like it like that
1,Billie Eilish,​everything i wanted,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Target Exclusive)",2019,2019-11-13,i had a dream i got everything i wanted not what you'd think and if i'm bein' honest it might've been a nightmare to anyone who might care thought i could fly fly so i stepped off the golden mm nobody cried cried cried cried cried nobody even noticed i saw them standing right there kinda thought they might care might care might care  pre i had a dream i got everything i wanted but when i wake up i see you with me   and you say as long as i'm here no one can hurt you don't wanna lie here but you can learn to if i could change the way that you see yourself you wouldn't wonder why you hear 'they don't deserve you'   i tried to scream but my head was underwater they called me weak like i'm not just somebody's daughter coulda been a nightmare but it felt like they were right there and it feels like yesterday was a year ago but i don't wanna let anybody know 'cause everybody wants something from me now and i don't wanna let 'em down  pre i had a dream i got everything i wanted but when i wake up i see you with me   and you say as long as i'm here no one can hurt you don't wanna lie here but you can learn to if i could change the way that you see yourself you wouldn't wonder why you hear 'they don't deserve you'   if i knew it all then would i do it again would i do it again if they knew what they said would go straight to my head what would they say instead if i knew it all then would i do it again would i do it again if they knew what they said would go straight to my head what would they say instead
2,Billie Eilish,​bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019,2019-03-29,white shirt now red my bloody nose sleepin' you're on your tippy toes creepin' around like no one knows think you're so criminal bruises on both my knees for you don't say thank you or please i do what i want when i'm wanting to my soul so cynical   so you're a tough guy like it really rough guy just can't get enough guy chest always so puffed guy i'm that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type i'm the bad guy duh  post i'm the bad guy   i like it when you take control even if you know that you don't own me i'll let you play the role i'll be your animal my mommy likes to sing along with me but she won't sing this song if she reads all the lyrics she'll pity the men i know   so you're a tough guy like it really rough guy just can't get enough guy chest always so puffed guy i'm that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type i'm the bad guy duh  post i'm the bad guy duh i'm only good at bein' bad bad   i like when you get mad i guess i'm pretty glad that you're alone you said she's scared of me i mean i don't see what she sees but maybe it's 'cause i'm wearing your cologne   i'm a bad guy i'm i'm a bad guy bad guy bad guy i'm a bad
3,Billie Eilish,​idontwannabeyouanymore,dont smile at me,2017,2017-07-21,don't be that way fall apart twice a day i just wish you could feel what you say show never tell but i know you too well kind of mood that you wish you could sell   if teardrops could be bottled there'd be swimming pools filled by models told a tight dress is what makes you a whore if i love you was a promise would you break it if you're honest tell the mirror what you know she's heard before i don't wanna be you anymore   hands hands getting cold losing feeling is getting old was i made from a broken mold hurt i can't shake we've made every mistake only you know the way that i break   if teardrops could be bottled there'd be swimming pools filled by models told a tight dress is what makes you a whore if i love you was a promise would you break it if you're honest tell the mirror what you know she's heard before i don't wanna be you i don't wanna be you i don't wanna be you anymore
4,Billie Eilish,​bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019,2019-01-30,mehki raine billie   billie eilish what do you want from me why don't you run from me what are you wondering what do you know why aren't you scared of me why do you care for me when we all fall asleep where do we go   billie eilish  mehki raine come here say it spit it out what is it exactly you're payin' is the amount cleanin' you out am i satisfactory today i'm thinkin' about the things that are deadly the way i'm drinkin' you down like i wanna drown like i wanna end me  refrain billie eilish step on the glass staple your tongue ahh bury a friend try to wake up ahahh cannibal class killing the son ahh bury a friend i wanna end me  pre billie eilish i wanna end me i wanna i wanna i wanna end me i wanna i wanna i wanna   billie eilish what do you want from me why don't you run from me what are you wondering what do you know why aren't you scared of me why do you care for me when we all fall asleep where do we go   billie eilish  mehki raine listen keep you in the dark what had you expected me to make you my art and make you a star and get you connected i'll meet you in the park i'll be calm and collected but we knew right from the start that you'd fall apart 'cause i'm too expensive it's probably somethin' that shouldn't be said out loud honestly i thought that i would be dead by now wow calling security keepin' my head held down bury the hatchet or bury a friend right now   billie eilish  mehki raine the debt i owe gotta sell my soul 'cause i can't say no no i can't say no then my limbs all froze and my eyes won't close and i can't say no i can't say no careful  refrain billie eilish step on the glass staple your tongue ahh bury a friend try to wake up ahahh cannibal class killing the son ahh bury a friend i wanna end me  pre billie eilish i wanna end me i wanna i wanna i wanna end me i wanna i wanna i wanna   billie eilish what do you want from me why don't you run from me what are you wondering what do you know why aren't you scared of me why do you care for me when we all fall asleep where do we go
5,Billie Eilish,​i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019,2019-03-29,it's not true tell me ive been lied to crying isn't like you ooh what the hell did i do never been the type to let someone see right through ooh   maybe won't you take it back say you were tryna make me laugh and nothing has to change today you didnt mean to say i love you i love you and i don't want to ooh   up all night on another redeye i wish we never learned to fly maybe we should just try to tell ourselves a good lie didn't mean to make you cry   maybe won't you take it back say you were tryna make me laugh and nothing has to change today you didn't mean to say i love you i love you and i don't want to ooh   the smile that you gave me even when you felt like dying   we fall apart as it gets dark i'm in your arms in central park there's nothing you could do or say i cant escape the way i love you i dont want to but i love you ooh ooh ooh ooh ooh
6,Billie Eilish,​wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019,2019-03-04,baby i don't feel so good six words you never understood i'll never let you go five words you'll never say aww i laugh along like nothing's wrong four days has never felt so long if three's a crowd and two was us one slipped away hahahahahahahaha   i just wanna make you feel okay but all you do is look the other way i can't tell you how much i wish i didn't wanna stay i just kinda wish you were gay   is there a reason we're not through is there a  step just for you our conversation's all in blue  heys hey hey hey hey ten fingers tearin' out my hair nine times you never made it there i ate alone at 7 you were six minutes away yay   how am i supposed to make you feel okay when all you do is walk the other way i can't tell you how much i wish i didn't wanna stay i just kinda wish you were gay   to spare my pride to give your lack of interest an explanation don't say i'm not your type just say that i'm not your preferred sexual orientation i'm so selfish but you make me feel helpless yeah and i can't stand another day stand another day   i just wanna make you feel okay but all you do is look the other way hmm i can't tell you how much i wish i didn't wanna stay i just kinda wish you were gay i just kinda wish you were gay i just kinda wish you were gay
7,Billie Eilish,No Time To Die,No Time To Die (Original Motion Picture Soundtrack),2020,2020-02-13,i should have known i'd leave alone just goes to show that the blood you bleed is just the blood you owe we were a pair but i saw you there too much to bear you were my life but life is far away from fair was i stupid to love you was i reckless to help was it obvious to everybody else   that i'd fallen for a lie you were never on my side fool me once fool me twice are you death or paradise now you'll never see me cry there's just no time to die   i let it burn you're no longer my concern mmm faces from my past return another lesson yet to learn   that i'd fallen for a lie you were never on my side fool me once fool me twice are you death or paradise now you'll never see me cry there's just no time to die  refrain no time to die mmm no time to die ooh   fool me once fool me twice are you death or paradise now you'll never see me cry there's just no time to die
8,Billie Eilish,​​ocean eyes,dont smile at me,2015,2015-11-19,i've been watchin' you for some time can't stop starin' at those ocean eyes burning cities and napalm skies fifteen flares inside those ocean eyes your ocean eyes   no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high fallin' into your ocean eyes those ocean eyes   i've been walkin' through a world gone blind can't stop thinkin' of your diamond mind careful creature made friends with time he left her lonely with a diamond mind and those ocean eyes   no fair no fair you really know how to make me cry when you give me those ocean eyes those ocean eyes i'm scared i'm scared i've never fallen from quite this high fallin' into your ocean eyes those ocean eyes   seye naeco esoht seye naeco ruoy otni 'nillaf dadadadada dadadadada hgih siht etiuq morf nellaf reven ev'i deracs m'i dadadadadada dadada seye naeco esoht em evig uoy nehw mmm yrc em ekam ot woh wonk yllaer uoy mmm riaf on   no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high fallin' into your ocean eyes those ocean eyes
9,Billie Eilish,Therefore I Am,BE2*,2020,2020-11-12,i'm not your friend or anything damn you think that you're the man i think therefore i am i'm not your friend or anything damn you think that you're the man i think therefore i am   stop what the hell are you talking about ha get my pretty name out of your mouth we are not the same with or without don't talk 'bout me like how you might know how i feel top of the world but your world isn't real your world's an ideal  pre so go have fun i really couldn't care less and you can give 'em my best but just know   i'm not your friend or anything damn you think that you're the man i think therefore i am i'm not your friend or anything damn you think that you're the man i think therefore i am   i don't want press to put your name next to mine we're on different lines so i wanna be nice enough they don't call my bluff 'cause i hate to find articles articles articles rather you remain unremarkable got a lotta interviews interviews interviews when they say your name i just act confused  pre did you have fun i really couldn't care less and you can give 'em my best but just know   i'm not your friend or anything damn you think that you're the man i think therefore i am i'm not your friend or anything damn you think that you're the man i think therefore i am   i'm sorry i don't think i caught your name i'm sorry i don't think i caught your name   i'm not your friend i'm not your friend or anything damn you think that you're the man they wanna they can try i think therefore i am i am i'm not your friend friend or anything damn they wanna you think that you're the man you're the man i think therefore i am therefore i am
