id,Artist,Title,Album,Year,Date,Lyric
1,Maroon 5,What Lovers Do,Red Pill Blues,2017,2017-08-30,adam levine say say say hey hey now baby oh mama don't play now baby say say say hey hey now baby said let's get one thing straight now baby  pre adam levine tell me tell me if you love me or not love me or not love me or not i'll bet the house on you am i lucky or not lucky or not lucky or not you gotta tell me if you love me or not love me or not love me or not been wishin' for you am i lucky or not lucky or not lucky or not   adam levine ooooh oooh been wishin' for you ooh ooh tryna' do what lovers do ooh ooooh oooh been wishin' for you ooh ooh tryna' do what lovers do ooh   sza  adam levine say say say hey hey now baby you gonna make me hit you with that lay down baby ohh ooh say say say hey hey now baby you know what i need out the gate now baby oh ohh  pre adam levine tell me tell me if you love me or not love me or not love me or not i'll bet the house on you am i lucky or not lucky or not lucky or not you gotta tell me if you love me or not love me or not love me or not been wishin' for you am i lucky or not lucky or not lucky or not   adam levine  sza ooooh oooh been wishin' for you ooh ooh tryna' do what lovers do ooh ooooh oooh been wishin' for you wishin' ooh ooh tryna' do what lovers do ooh  refrain adam levine  sza hey yeah what lovers do oh ohh what lovers do hmm na na na hey yeah what lovers do oh hmm na na na oh ohh   adam levine  sza aren't we too grown for games aren't we too grown to play around young enough to chase but old enough to know better are we too grown for changin' are we too grown to mess aroundooh and i can't wait forever baby both of us should know better   adam levine ooooh oooh been wishin' for you ooh ooh tryna' do what lovers do ooh   adam levine  sza ooooh oooh been wishin' for you ooh ooh tryna' do what lovers do ooh ooooh oooh been wishin' for you you oh yeah ooh ooh ooh tryna' do what lovers do tryna' do what lovers doooh ooooh oooh been wishin' for you been wishin' for love ooh ooh tryna' do what lovers do do uhh ooh ooooh oooh been wishin' for you tryna' do ooh ooh tryna' do what lovers do ooh
2,Maroon 5,Memories,M57*,2019,2019-09-20,here's to the ones that we got cheers to the wish you were here but you're not 'cause the drinks bring back all the memories of everything we've been through toast to the ones here today toast to the ones that we lost on the way 'cause the drinks bring back all the memories and the memories bring back memories bring back you   there's a time that i remember when i did not know no pain when i believed in forever and everything would stay the same now my heart feel like december when somebody say your name 'cause i can't reach out to call you but i know i will one day yeah  pre everybody hurts sometimes everybody hurts someday ayyayy but everything gon' be alright go and raise a glass and say ayy   here's to the ones that we got cheers to the wish you were here but you're not 'cause the drinks bring back all the memories of everything we've been through toast to the ones here today toast to the ones that we lost on the way 'cause the drinks bring back all the memories and the memories bring back memories bring back you  post doodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoo memories bring back memories bring back you   there's a time that i remember when i never felt so lost when i felt all of the hatred was too powerful to stop ooh yeah now my heart feel like an ember and it's lighting up the dark i'll carry these torches for ya that you know i'll never drop yeah  pre everybody hurts sometimes everybody hurts someday ayyayy but everything gon' be alright go and raise a glass and say ayy   here's to the ones that we got ohoh cheers to the wish you were here but you're not 'cause the drinks bring back all the memories of everything we've been through no no toast to the ones here today ayy toast to the ones that we lost on the way 'cause the drinks bring back all the memories ayy and the memories bring back memories bring back you  post doodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoo memories bring back memories bring back you doodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoo ooh yeah memories bring back memories bring back you   yeah yeah yeah yeah yeah yeah yeah yeah no no memories bring back memories bring back you
3,Maroon 5,Girls Like You,Red Pill Blues,2017,2017-11-03,spent 4 hours i need more hours with you you spent the weekend getting even ooh we spent the late nights making things right between us  pre but now it's all good babe roll that backwood babe and play me close   'cause girls like you run 'round with guys like me 'til sundown when i come through i need a girl like you yeah yeah girls like you love fun and yeah me too what i want when i come through i need a girl like you yeah yeah  post yeah yeah yeah yeah yeah yeah i need a girl like you yeah yeah yeah yeah yeah yeah yeah yeah i need a girl like you   i spent last night on the last flight to you took a whole day up tryna get way up ooh we spent the daylight tryna make things right between us  pre but now it's all good babe roll that backwood babe and play me close   'cause girls like you run 'round with guys like me 'til sundown when i come through i need a girl like you yeah yeah girls like you love fun and yeah me too what i want when i come through i need a girl like you yeah yeah  post yeah yeah yeah yeah yeah yeah i need a girl like you yeah yeah yeah yeah yeah yeah yeah yeah i need a girl like you yeah yeah i need a girl like you yeah yeah i need a girl like you   maybe it's 645 maybe i'm barely alive maybe you've taken my shit for the last time yeah maybe i know that i'm drunk maybe i know you're the one maybe you're thinking it's better if you drive   oh 'cause girls like you run 'round with guys like me 'til sundown when i come through i need a girl like you yeah 'cause girls like you run 'round with guys like me 'til sundown when i come through i need a girl like you yeah yeah girls like you love fun and yeah me too what i want when i come through i need a girl like you yeah yeah  post yeah yeah yeah yeah yeah yeah i need a girl like you yeah yeah yeah yeah yeah yeah yeah yeah i need a girl like you
4,Maroon 5,Don’t Wanna Know,Red Pill Blues,2016,2016-10-12,oh hey oh oh hey oh oh oh hey uh oh uh oh   adam levine i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you no i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you oh i don't wanna know   adam levine wasted wasted and the more i drink the more i think about you oh no no i can't take it baby every place i go reminds me of you  pre adam levine do you think of me of what we used to be is it better now that i'm not around my friends are actin' strange they don't bring up your name are you happy now are you happy now   adam levine i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you no i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you oh i don't wanna know   adam levine and every time i go out yeah i hear it from this one i hear it from that one that you got someone new yeah i see but don't believe it even in my head you're still in my bed maybe i'm just a fool  pre adam levine do you think of me of what we used to be what we used to be is it better now that i'm not around that i'm not around my friends are actin' strange they don't bring up your name are you happy now are you happy now   adam levine i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you no i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you oh i don't wanna know oh hey   kendrick lamar no more please stop no more hashtag boo'd up screenshots no more tryin' make me jealous on your birthday you know just how i made you better on your birthday oh do he do you like this do he woo you like this do he lay it down for you touch your poona like this matter fact never mind we'll let the past be may be his right now but your body's still me whoa   adam levine i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you no i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you oh i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you oh the way i used to love you i don't wanna know know know know who's taking you home home home home and loving you so so so so the way i used to love you oh i don't wanna know   oh hey oh oh hey oh oh oh hey uh oh uh oh
5,Maroon 5,One More Night,Overexposed,2012,2012-06-19,ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh   you and i go hard at each other like we're going to war you and i go rough we keep throwing things and slamming the doors you and i get so damn dysfunctional we stopped keeping score you and i get sick yeah i know that we can't do this no more  pre yeah but baby there you go again there you go again making me love you yeah i stopped using my head using my head let it all go got you stuck on my body on my body like a tattoo and now i'm feeling stupid feeling stupid crawling back to you   so i cross my heart and i hope to die that i'll only stay with you one more night and i know i've said it a million times but i'll only stay with you one more night   try to tell you no but my body keeps on telling you yes try to tell you stop but your lipstick got me so out of breath i'll be waking up in the morning probably hating myself and i'll be waking up feeling satisfied but guilty as hell  pre yeah but baby there you go again there you go again making me love you making me love you yeah i stopped using my head using my head let it all go let it all go got you stuck on my body on my body like a tattoo like a tattoo yeah and now i'm feeling stupid feeling stupid crawling back to you   so i cross my heart and i hope to die yeah that i'll only stay with you one more night oh and i know i've said it a million times yeah but i'll only stay with you one more night yeah   ooh ooh ooh ooh ooh ooh ooh ooh yeah baby give me one more night ooh ooh ooh ooh ooh ooh ooh ooh yeah baby give me one more night whoa yeah ooh ooh ooh ooh ooh ooh ooh ooh yeah baby give me one more night oh yeah yeah  pre but baby there you go again there you go again making me love you yeah i stopped using my head using my head let it all go got you stuck on my body on my body like a tattoo yeah yeah yeah yeah   so i cross my heart and i hope to die oh oh oh oh oh oh oh oh that i'll only stay with you one more night oh oh oh oh oh oh and i know i've said it a million times oh i've said it a million times but i'll only stay with you one more night yeah baby give me one more night so i cross my heart and i hope to die yeah yeah that i'll only stay with you one more night yeah yeah and i know i've said it a million times yeah yeah but i'll only stay with you one more night yeah yeah   i dunno whatever
6,Maroon 5,Payphone,Overexposed,2012,2012-04-17,adam levine i'm at a payphone trying to call home all of my change i spent on you where have the times gone baby it's all wrong where are the plans we made for two   adam levine yeah i i know it's hard to remember the people we used to be it's even harder to picture that you're not here next to me you say it's too late to make it but is it too late to try and in our time that you wasted all of our s burned down  pre adam levine i've wasted my nights you turned out the lights now i'm paralyzed still stuck in that time when we called it love but even the sun sets in paradise   adam levine i'm at a payphone trying to call home all of my change i spent on you where have the times gone baby it's all wrong where are the plans we made for two  post adam levine if happy ever after did exist i would still be holding you like this all those fairytales are full of shit one more fucking love song i'll be sick oh   adam levine you turned your back on tomorrow 'cause you forgot yesterday i gave you my love to borrow but you just gave it away you can't expect me to be fine i don't expect you to care i know i said it before but all of our s burned down  pre adam levine i've wasted my nights you turned out the lights now i'm paralyzed still stuck in that time when we called it love but even the sun sets in paradise   adam levine i'm at a payphone trying to call home all of my change i spent on you whoa whoaoa where have the times gone baby it's all wrong where are the plans we made for two yeah  post adam levine  wiz khalifa if happy ever after did exist i would still be holding you like this and all those fairytales are full of shit one more fucking love song i'll be sick uh now i'm at a payphone   wiz khalifa man fuck that shit i'll be out spending all this money while you're sitting 'round wondering why it wasn't you who came up from nothing made it from the bottom now when you see me i'm stuntin' and all of my cars start with the push of a button telling me i changed since i blew up or whatever you call it switched the number to my phone so you never could call it don't need my name on my shirt you can tell that i'm ballin' swish what a shame coulda got picked had a really good game but you missed your last shot so you talk about who you see at the top or what you could've saw but sad to say it's over for phantom pulled up valet open doors wished i'd go away got what you was looking for now it's me who they want so you can go take that little piece of shit with you   adam levine i'm at a payphone trying to call home all of my change i spent on you whoo where have the times gone baby it's all wrong where are the plans we made for two for two yeah  post adam levine if happy ever after did exist i would still be holding you like this and all these fairytales are full of shit one more fucking love song i'll be sick now i'm at a payphone
7,Maroon 5,Cold,Red Pill Blues,2017,2017-02-14,adam levine cold enough to chill my bones it feels like i don't know you anymore i don't understand why you're so cold to me with every breath you breathe i see there's something going on i don't understand why you're so cold   adam levine are we taking time or a time out i can't take the inbetween asking me for space here in my house you know how to fuck with me acting like we're not together after everything that we've been through sleeping up under the covers how am i so far away from you  pre adam levine distant when we're kissing feel so different baby tell me how did you get so   adam levine cold enough to chill my bones it feels like i don't know you anymore i don't understand why you're so cold to me with every breath you breathe i see there's something going on i don't understand why you're so cold yeah  post adam levine whoa yeah whoa yeah i don't understand why you're so cold   adam levine what you holdin' on holdin' on for if you wanna leave just leave why you wanna bite your tongue for the silence is killing me acting like we're not together if you don't want this then what's the use sleeping up under the covers how am i so far away from you  pre adam levine distant oh when we're kissing yeah feel so different yeah baby tell me how did you get so   adam levine cold enough to chill my bones it feels like i don't know you anymore i don't understand why you're so cold to me with every breath you breathe i see there's something going on i don't understand why you're so cold yeah  post adam levine  future whoa yeah whoa yeah i don't understand why you're so cold yeah so tough its a cold world whoa yeah so tough its a cold world whoa yeah so tough its a cold world i don't understand why you're so cold   future  adam levine never thought that you were like this i took the tag off and made you priceless i just spent half a mill' on a chandelier now you tryna cut me off like a light switch yeah tryna stay in our league saying that you need some time to breathe thinking that i'm sleeping on the fourletter word but the fourletter word don't sleep we goin' two separate ways you ain't been actin' the same you gotta go girl where your heart used to be you golddig every day i switched the fourdoor to the twodoor 'cause i can't let my driver hear what you say girl i tried to give you space baby tell me how did you get so cold   adam levine cold enough to chill my bones it feels like i don't know you anymore i don't understand why you're so cold to me with every breath you breathe i see there's something going on i don't understand why you're so cold  post adam levine  future so tough its a cold world whoa yeah so tough its a cold world whoa yeah so tough its a cold world i don't understand why you're so cold yeah so tough its a cold world whoa yeah so tough its a cold world whoa yeah so tough its a cold world i don't understand why you're so cold
8,Maroon 5,She Will Be Loved,Songs About Jane,2002,2002-06-25,beauty queen of only eighteen she had some trouble with herself he was always there to help her she always belonged to someone else  pre i drove for miles and miles and wound up at your door i've had you so many times but somehow i want more   i don't mind spending every day out on your corner in the pouring rain look for the girl with the broken smile ask her if she wants to stay a while  post and she will be loved and she will be loved   tap on my window knock on my door i want to make you feel beautiful i know i tend to get so insecure doesn't matter anymore  pre it's not always rainbows and butterflies it's compromise that moves us along yeah my heart is full and my door's always open you come any time you want yeah   i don't mind spending every day out on your corner in the pouring rain look for the girl with the broken smile ask her if she wants to stay a while  post and she will be loved and she will be loved and she will be loved and she will be loved   i know where you hide alone in your car know all of the things that make you who you are i know that goodbye means nothing at all comes back and makes me catch her every time she falls yeah  pre tap on my window knock on my door i want to make you feel beautiful   i don't mind spending every day out on your corner in the pouring rain oh look for the girl with the broken smile ask her if she wants to stay a while  post and she will be loved and she will be loved and she will be loved and she will be loved   fading out i don't mind spending every day out on your corner in the pouring rain please don't try so hard to say goodbye
9,Maroon 5,Sugar,V,2015,2015-01-13,directed by david dobkin   i'm hurting baby i'm broken down i need your loving loving i need it now when i'm without you i'm something weak you got me begging begging i'm on my knees  pre i don't wanna be needing your love i just wanna be deep in your love and it's killing me when you're away ooh baby 'cause i really don't care where you are i just wanna be there where you are and i gotta get one little taste   sugar yes please won't you come and put it down on me i'm right here 'cause i need little love a little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar yes please won't you come and put it down on me   babe my broken pieces you pick them up don't leave me hanging hanging come give me some when i'm without you i'm so insecure you are the one thing one thing i'm living for  pre i don't wanna be needing your love i just wanna be deep in your love and it's killing me when you're away ooh baby 'cause i really don't care where you are i just wanna be there where you are and i gotta get one little taste   sugar yes please won't you come and put it down on me i'm right here 'cause i need little love a little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar yes please your sugar yes please won't you come and put it down on me   yeah i want that red velvet i want that sugar sweet don't let nobody touch it unless that somebody's me i gotta be a man there ain't no other way 'cause girl you're hotter than a southern california day never wanna play no games you don't gotta  be afraid don't give me all that shy shit no makeup on that's my sugar   sugar yes please please won't you come and put it down on me down on me i'm right here 'cause i need i'm right here 'cause i need little love a little sympathy yeah you show me good loving make it alright need a little sweetness in my life yeah your sugar yes please your sugar yes please won't you come and put it down on me down on me sugar yes please won't you come and put it down on me i'm right here 'cause i need i'm right here 'cause i need little love a little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar yes please your sugar yes please won't you come and put it down on me down on me down on me ooh
10,Maroon 5,Maps,V,2014,2014-06-16,i miss the taste of a sweeter life i miss the conversation i'm searching for a song tonight i'm changing all of the stations i like to think that we had it all we drew a map to a better place but on that road i took a fall oh baby why did you run away  pre i was there for you in your darkest times i was there for you in your darkest night   but i wonder where were you when i was at my worst down on my knees and you said you had my back so i wonder where were you all the roads you took came back to me so i'm following the map that leads to you  post the map that leads to you ain't nothing i can do the map that leads to you following following following to you the map that leads to you ain't nothing i can do the map that leads to you following following following   i hear your voice in my sleep at night hard to resist temptation 'cause something strange has come over me now i can't get over you no i just can't get over you  pre i was there for you in your darkest times i was there for you in your darkest night   but i wonder where were you when i was at my worst down on my knees and you said you had my back so i wonder where were you all the roads you took came back to me so i'm following the map that leads to you  post the map that leads to you ain't nothing i can do the map that leads to you following following following to you the map that leads to you ain't nothing i can do the map that leads to you   oh oh oh ah ooh oh oh ah yeah yeah yeah ah aha ah mmm ah oh i was there for you oh in your darkest times oh i was there for you oh in your darkest night oh i was there for you oh in your darkest times oh i was there for you oh in your darkest night   but i wonder where were you when i was at my worst down on my knees and you said you had my back so i wonder where were you all the roads you took came back to me so i'm following the map that leads to you the map that leads to you ain't nothing i can do the map that leads to you following following following to you the map that leads to you ain't nothing i can do the map that leads to you following following following
